request_id,scenario,prompt_class,arrival_offset_s,start_ts,first_token_ts,end_ts,ttft_ms,e2e_ms,itl_mean_ms,itl_p95_ms,output_chars,approx_output_tokens,prompt_chars,status,error,metadata
short_000,chunked_prefill,short,0.680040191516534,0.6813042163848877,1.021806001663208,1.3171770572662354,340.5017852783203,635.8728408813477,11.01850546323336,16.535401344299316,135,28,131,ok,,
short_001,chunked_prefill,short,0.6969260842116933,0.6982526779174805,1.039160966873169,1.4147775173187256,340.9082889556885,716.5248394012451,11.076840487393467,17.83938407897948,163,35,131,ok,,
short_002,chunked_prefill,short,0.911342126928337,0.9127926826477051,1.0392565727233887,1.2992300987243652,126.4638900756836,386.43741607666016,10.821653449017068,14.44752216339111,118,25,131,ok,,
short_003,chunked_prefill,short,1.0797329173750794,1.0803523063659668,1.1380589008331299,1.3783257007598877,57.706594467163086,297.9733943939209,9.95611107867697,10.92374324798584,118,25,131,ok,,
short_004,chunked_prefill,short,1.9687946992471348,1.9697871208190918,2.0023224353790283,2.2453391551971436,32.53531455993652,275.55203437805176,10.128539541493291,10.896039009094238,118,25,131,ok,,
short_005,chunked_prefill,short,2.7215767051128634,2.72379469871521,2.7567105293273926,2.992330551147461,32.91583061218262,268.535852432251,9.812811146611752,10.408282279968262,118,25,131,ok,,
short_006,chunked_prefill,short,4.206435438147118,4.208343505859375,4.3272950649261475,4.565178632736206,118.95155906677246,356.83512687683105,9.899885758109715,10.513472557067871,118,25,131,ok,,
short_007,chunked_prefill,short,4.267070374551495,4.269017457962036,4.3373613357543945,4.575188875198364,68.3438777923584,306.1714172363281,9.897004003110139,10.51480770111084,118,25,131,ok,,
short_008,chunked_prefill,short,4.632434480815823,4.633041143417358,4.663081169128418,4.896418571472168,30.04002571105957,263.37742805480957,9.71078872680664,11.265993118286131,118,25,131,ok,,
short_009,chunked_prefill,short,4.652601265620729,4.6545751094818115,4.694175720214844,4.925794839859009,39.60061073303223,271.21973037719727,9.629425795181938,10.60950756072998,118,25,131,ok,,
short_010,chunked_prefill,short,4.817079062927278,4.818550109863281,4.857915163040161,5.118854999542236,39.36505317687988,300.3048896789551,9.633733676030086,10.289490222930908,135,28,132,ok,,
short_011,chunked_prefill,short,5.286356081504714,5.287878751754761,5.320504426956177,5.654875993728638,32.625675201416016,366.99724197387695,9.814573056770094,10.93912124633789,163,35,132,ok,,
short_012,chunked_prefill,short,5.304285683958252,5.305721282958984,5.346532821655273,5.606520175933838,40.81153869628906,300.7988929748535,9.615687223581167,10.744988918304443,135,28,132,ok,,
short_013,chunked_prefill,short,5.4520801300673725,5.453330039978027,5.4897143840789795,5.756665468215942,36.38434410095215,303.33542823791504,9.865210606501652,10.766267776489258,135,28,132,ok,,
short_014,chunked_prefill,short,6.151741464215754,6.152867555618286,6.182998418807983,6.448548793792725,30.130863189697266,295.6812381744385,9.807063983036922,10.299146175384521,135,28,132,ok,,
short_015,chunked_prefill,short,6.676627633710688,6.677761554718018,6.7077624797821045,7.042261600494385,30.000925064086914,364.5000457763672,9.809674638690371,10.609245300292969,163,35,132,ok,,
short_016,chunked_prefill,short,6.842645246355238,6.844124794006348,6.876631021499634,7.14415979385376,32.50622749328613,300.0349998474121,9.886017212500938,11.138677597045898,135,28,132,ok,,
short_017,chunked_prefill,short,7.435851050556413,7.437216758728027,7.469876050949097,7.819339752197266,32.659292221069336,382.1229934692383,10.28191682064172,11.611413955688475,163,35,132,ok,,
short_018,chunked_prefill,short,8.541009780038477,8.542968988418579,8.579163074493408,8.844968557357788,36.1940860748291,301.999568939209,9.843917993398813,10.541856288909912,135,28,132,ok,,
short_019,chunked_prefill,short,8.545356425741321,8.545929193496704,8.579257249832153,8.845610857009888,33.32805633544922,299.6816635131836,9.84323941744291,10.558605194091797,135,28,132,ok,,
long_prefill_000,chunked_prefill,long_prefill,4.206435438147118,4.210110425949097,,4.293925046920776,,83.81462097167969,,,0,0,1485165,error,"400, message='Bad Request', url='http://localhost:8000/v1/chat/completions'","{""is_long_injection"": true}"
