request_id,scenario,prompt_class,arrival_offset_s,start_ts,first_token_ts,end_ts,ttft_ms,e2e_ms,itl_mean_ms,itl_p95_ms,output_chars,approx_output_tokens,prompt_chars,status,error,metadata
req_000,mixed_batching,short,0.0,0.0003304481506347656,0.04139876365661621,0.32909226417541504,41.068315505981445,328.7618160247803,10.652587963984562,11.669158935546875,135,28,131,ok,,
req_001,mixed_batching,long,0.2,0.20100951194763184,0.23699522018432617,3.2932116985321045,35.985708236694336,3092.2021865844727,10.221179911125464,11.831831932067871,1686,300,160,ok,,
req_002,mixed_batching,short,0.4,0.40131592750549316,0.4433295726776123,0.7931013107299805,42.01364517211914,391.7853832244873,10.284387704097863,11.135435104370117,163,35,131,ok,,
req_003,mixed_batching,long,0.6000000000000001,0.6014761924743652,0.6386942863464355,3.653548002243042,37.21809387207031,3052.0718097686768,10.08281022011237,11.760377883911133,1732,300,160,ok,,
req_004,mixed_batching,short,0.8,0.8008594512939453,0.8434967994689941,1.0971317291259766,42.63734817504883,296.27227783203125,10.53352977918542,12.44230270385742,118,25,131,ok,,
req_005,mixed_batching,long,1.0,1.0005958080291748,1.0416593551635742,4.008746385574341,41.063547134399414,3008.150577545166,9.923067379954666,11.608934402465819,1731,300,160,ok,,
req_006,mixed_batching,short,1.2,1.2006096839904785,1.2441537380218506,1.496551752090454,43.54405403137207,295.9420680999756,10.494304739910623,11.703348159790039,118,25,131,ok,,
req_007,mixed_batching,long,1.4,1.4028029441833496,1.4452855587005615,4.361624240875244,42.482614517211914,2958.8212966918945,9.753243181617762,11.125755310058594,1741,300,160,ok,,
req_008,mixed_batching,short,1.5999999999999999,1.6009557247161865,1.6393170356750488,1.894277572631836,38.361310958862305,293.3218479156494,10.582053143045176,11.809682846069336,118,25,131,ok,,
req_009,mixed_batching,short,1.7999999999999998,1.8013348579406738,1.84185791015625,2.0914156436920166,40.52305221557617,290.0807857513428,10.337674099466074,11.436271667480469,118,25,131,ok,,
req_010,mixed_batching,short,1.9999999999999998,2.0013926029205322,2.038536310195923,2.2895915508270264,37.143707275390625,288.19894790649414,10.46101943306301,11.692047119140625,118,25,131,ok,,
req_011,mixed_batching,short,2.1999999999999997,2.200836420059204,2.2387187480926514,2.478719472885132,37.882328033447266,277.88305282592773,9.979921838511592,11.209750175476074,118,25,131,ok,,
req_012,mixed_batching,short,2.4,2.401186227798462,2.4401051998138428,2.6719765663146973,38.91897201538086,270.79033851623535,9.635655776314113,10.911250114440918,118,25,131,ok,,
req_013,mixed_batching,short,2.6,2.600785970687866,2.6328415870666504,2.86500883102417,32.05561637878418,264.2228603363037,9.658585424008576,11.00170612335205,118,25,131,ok,,
req_014,mixed_batching,short,2.8000000000000003,2.800567865371704,2.835695505142212,3.094299793243408,35.12763977050781,293.7319278717041,9.551112468426044,10.180294513702393,135,28,132,ok,,
req_015,mixed_batching,short,3.0000000000000004,3.0009710788726807,3.0367605686187744,3.3589978218078613,35.78948974609375,358.02674293518066,9.465730551517371,10.510063171386717,163,35,132,ok,,
