request_id,scenario,prompt_class,arrival_offset_s,start_ts,first_token_ts,end_ts,ttft_ms,e2e_ms,itl_mean_ms,itl_p95_ms,output_chars,approx_output_tokens,prompt_chars,status,error,metadata
c01_000,sweep,sweep_short,0.0,0.0006449222564697266,0.3018934726715088,0.5699708461761475,301.24855041503906,569.3259239196777,9.942100598261906,14.896512031555176,135,28,131,ok,,"{""concurrency"": 1}"
c01_001,sweep,sweep_short,0.2,0.20127534866333008,0.319577693939209,0.6418545246124268,118.3023452758789,440.5791759490967,9.488308068477746,11.001443862915039,163,35,131,ok,,"{""concurrency"": 1}"
c01_002,sweep,sweep_short,0.4,0.4011073112487793,0.4405806064605713,0.6601054668426514,39.47329521179199,258.99815559387207,9.123460106227709,9.787607192993164,118,25,131,ok,,"{""concurrency"": 1}"
c01_003,sweep,sweep_short,0.6000000000000001,0.6012077331542969,0.6326804161071777,0.8657572269439697,31.47268295288086,264.54949378967285,9.694897610208262,10.348916053771973,118,25,131,ok,,"{""concurrency"": 1}"
c01_004,sweep,sweep_short,0.8,0.8014039993286133,0.83882737159729,1.0564897060394287,37.42337226867676,255.08570671081543,9.031679319298785,10.269856452941893,118,25,131,ok,,"{""concurrency"": 1}"
c01_005,sweep,sweep_short,1.0,1.000809669494629,1.0375919342041016,1.2581169605255127,36.782264709472656,257.3072910308838,9.15849727133046,9.78686809539795,118,25,131,ok,,"{""concurrency"": 1}"
c01_006,sweep,sweep_short,1.2000000000000002,1.200969934463501,1.2304894924163818,1.4519932270050049,29.51955795288086,251.0232925415039,9.208886519722316,10.115790367126465,118,25,131,ok,,"{""concurrency"": 1}"
c01_007,sweep,sweep_short,1.4000000000000001,1.4013371467590332,1.4330883026123047,1.6518709659576416,31.751155853271484,250.5338191986084,9.091594944829525,9.614348411560059,118,25,131,ok,,"{""concurrency"": 1}"
c01_008,sweep,sweep_short,1.6,1.6016523838043213,1.6334123611450195,1.8828012943267822,31.759977340698242,281.14891052246094,9.25903136913593,10.509312152862549,135,28,131,ok,,"{""concurrency"": 1}"
c01_009,sweep,sweep_short,1.8,1.801422119140625,1.8378894329071045,2.0577621459960938,36.46731376647949,256.34002685546875,9.096570636915123,9.882378578186035,118,25,131,ok,,"{""concurrency"": 1}"
c01_010,sweep,sweep_short,2.0,2.000993251800537,2.02974534034729,2.2799017429351807,28.75208854675293,278.90849113464355,9.289934084965633,10.542750358581543,135,28,132,ok,,"{""concurrency"": 1}"
c01_011,sweep,sweep_short,2.2,2.2016735076904297,2.2356057167053223,2.54546856880188,33.93220901489258,343.7950611114502,9.080684546268348,9.611272811889648,163,35,132,ok,,"{""concurrency"": 1}"
