request_id,scenario,prompt_class,arrival_offset_s,start_ts,first_token_ts,end_ts,ttft_ms,e2e_ms,itl_mean_ms,itl_p95_ms,output_chars,approx_output_tokens,prompt_chars,status,error,metadata
prefix_000,prefix_cache,shared_prefix,0.0,0.00014925003051757812,0.06904029846191406,0.1851794719696045,68.89104843139648,185.0302219390869,2.4701635888282287,3.194856643676756,231,48,13643,ok,,"{""request_index"": 0}"
prefix_001,prefix_cache,shared_prefix,0.15,0.150437593460083,0.17650413513183594,0.28845763206481934,26.06654167175293,138.02003860473633,2.3812841861806016,2.890515327453613,227,48,13643,ok,,"{""request_index"": 1}"
prefix_002,prefix_cache,shared_prefix,0.3,0.30092668533325195,0.3256709575653076,0.4374856948852539,24.744272232055664,136.55900955200195,2.3780122716376124,3.009653091430663,258,48,13643,ok,,"{""request_index"": 2}"
prefix_003,prefix_cache,shared_prefix,0.44999999999999996,0.452070951461792,0.4793083667755127,0.5896644592285156,27.237415313720703,137.59350776672363,2.347225838519157,2.7639389038085933,231,48,13643,ok,,"{""request_index"": 3}"
prefix_004,prefix_cache,shared_prefix,0.6,0.6011495590209961,0.627077579498291,0.7372443675994873,25.928020477294922,136.0948085784912,2.3430966316385473,2.721142768859863,231,48,13643,ok,,"{""request_index"": 4}"
