request_id,scenario,prompt_class,arrival_offset_s,start_ts,first_token_ts,end_ts,ttft_ms,e2e_ms,itl_mean_ms,itl_p95_ms,output_chars,approx_output_tokens,prompt_chars,status,error,metadata
c16_000,sweep,sweep_short,0.0,0.00012135505676269531,0.06872272491455078,0.32335686683654785,68.60136985778809,323.23551177978516,9.398084420424242,10.703802108764648,135,28,131,ok,,"{""concurrency"": 16}"
c16_001,sweep,sweep_short,0.0,0.0003418922424316406,0.06844782829284668,0.38840556144714355,68.10593605041504,388.0636692047119,9.357416268550988,10.63995361328125,163,35,131,ok,,"{""concurrency"": 16}"
c16_002,sweep,sweep_short,0.0,0.0003962516784667969,0.06851792335510254,0.29612302780151367,68.12167167663574,295.7267761230469,9.494916252467943,10.662627220153809,118,25,131,ok,,"{""concurrency"": 16}"
c16_003,sweep,sweep_short,0.0,0.00043892860412597656,0.058551788330078125,0.2876472473144531,58.11285972595215,287.20831871032715,9.530140006023904,10.724639892578125,118,25,131,ok,,"{""concurrency"": 16}"
c16_004,sweep,sweep_short,0.0,0.0004787445068359375,0.05861926078796387,0.28778982162475586,58.14051628112793,287.3110771179199,9.529953417570695,10.727667808532715,118,25,131,ok,,"{""concurrency"": 16}"
c16_005,sweep,sweep_short,0.0,0.0005199909210205078,0.0686025619506836,0.2965199947357178,68.08257102966309,296.00000381469727,9.494045506352963,10.71619987487793,118,25,131,ok,,"{""concurrency"": 16}"
c16_006,sweep,sweep_short,0.0,0.00055694580078125,0.06876468658447266,0.29680347442626953,68.2077407836914,296.2465286254883,9.521588035251783,10.726714134216309,118,25,131,ok,,"{""concurrency"": 16}"
c16_007,sweep,sweep_short,0.0,0.0005919933319091797,0.05837082862854004,0.28789424896240234,57.77883529663086,287.30225563049316,9.542351183683977,10.724949836730957,118,25,131,ok,,"{""concurrency"": 16}"
c16_008,sweep,sweep_short,0.0,0.0006268024444580078,0.05847477912902832,0.2871267795562744,57.84797668457031,286.4999771118164,9.530751601509426,10.726571083068848,118,25,131,ok,,"{""concurrency"": 16}"
c16_009,sweep,sweep_short,0.0,0.0006616115570068359,0.06865978240966797,0.296658992767334,67.99817085266113,295.99738121032715,9.49300890383513,10.726261138916016,118,25,131,ok,,"{""concurrency"": 16}"
c16_010,sweep,sweep_short,0.0,0.0006978511810302734,0.06833171844482422,0.322629451751709,67.63386726379395,321.9316005706787,9.408198870145357,10.655581951141357,135,28,132,ok,,"{""concurrency"": 16}"
c16_011,sweep,sweep_short,0.0,0.0007317066192626953,0.0688014030456543,0.38765883445739746,68.0696964263916,386.92712783813477,9.344375494754676,10.683917999267578,163,35,132,ok,,"{""concurrency"": 16}"
